text_raport|text_clean_debug|eticheta_problema|eticheta_departament|eticheta_urgenta|data_raport
touchscreen-ul nu raspunde la atingere la zona expeditie. nota informativa|touchscreen-ul nu raspunde la atingere la zona expeditie. nota informativa|hardware_it|Software|mica|2026-01-04
ttouchscreen decalaat la linia 2. fum|touchscreen decalat la linia 2. FUM|hardware_it|Software|critica|2026-01-15
ping timeout la zona ambalare. linie oprrita|ping timeout la zona ambalare. LINIE OPRITA|conectivitate_retea|Software|critica|2026-01-20
mentenanta preeventiva! cablu sectioant la cuuptor tratament|mentenanta preventiva! cablu sectionat la cuptor tratament|alimentare_curent|Electric|mica|2026-01-21
aadresa ip conflict zona linia 1|adresa IP conflict zona linia 1|conectivitate_retea|Software|medie|2025-12-12
defectiune roobt sudura: pata mare de ulei pe jos.|Defectiune robot sudura: pata mare de ulei pe jos.|scurgere_lichide|Mecanic|critica|2025-12-27
urea rupta la magazie piesse. fum|curea rupta la magazie piese. FUM|uzura_fizica|Mecanic|critica|2025-12-29
ota informativa! pata made de uulei pe jps la robot kuka|nota informativa! pata mare de ulei pe jos la robot kuka|scurgere_lichide|Mecanic|mica|2026-01-24
la sattia vopsiree: pistoul nu mai revine.|La statia vopsire: pistonul nu mai revine.|blocaj_mecanic|Mecanic|mica|2025-12-25
touchsxreen declat la robto kuka. incendiu|touchscreen decalat la robot kuka. INCENDIU|hardware_it|Software|critica|2026-01-09
nu comunic cu serrverul znoa cnc mazak|nu comunica cu serverul zona cnc mazak|conectivitate_retea|Software|mica|2025-12-11
la cwmera compresoare: furtun lresiune spart.|La camera compresoare: furtun presiune spart.|scurgere_lichide|Mecanic|medie|2026-01-17
ping timeout zona tobot kkua|ping timeout zona robot kuka|conectivitate_retea|Software|medie|2025-12-20
verificati cnc mazak,scurtcircuit cu fpama|Verificati cnc mazak, scurtcircuit cu flama|alimentare_curent|Electric|mica|2026-01-26
valoare zero la senzor temperatura la cmaera comresoare. incetineste productia|valoare zero la senzor temperatura la camera compresoare. incetineste productia|senzori_instrumentatie|Electric|medie|2026-01-06
defectiune robot sufura: valav hidraulica blcoata.|Defectiune robot sudura: valva hidraulica blocata.|blocaj_mecanic|Mecanic|medie|2025-12-26
lant rupt la rboot sudura. trebuuie veificat|lant rupt la robot sudura. trebuie verificat|uzura_fizica|Mecanic|medie|2026-01-14
nu se aprinde ecul de contrll la rlbot kukka. verificati cand puteti|nu se aprinde becul de control la robot kuka. verificati cand puteti|alimentare_curent|Electric|medie|2026-02-03
usa de protectie itepenita zona sona ambalare|usa de protectie intepenita zona zona ambalare|blocaj_mecanic|Mecanic|medie|2026-01-19
pin ttimeout la linia 2. incendiu|ping timeout la linia 2. INCENDIU|conectivitate_retea|Software|critica|2026-01-21
lbue screen la pornore la ljnia 1. nu e graba|blue screen la pornire la linia 1. nu e graba|bug_aplicatie|Software|mica|2025-12-14
ax descentrat zina camera compresoare|ax descentrat zona camera compresoare|uzura_fizica|Mecanic|mica|2026-02-06
invertodul e in avarie la camera compresoare. incendiiu|invertorul e in avarie la camera compresoare. INCENDIU|componente_automatizare|Electric|critica|2026-01-30
dedectiune liniia 1: nu mai culisezaa sania.|Defectiune linia 1: nu mai culiseaza sania.|blocaj_mecanic|Mecanic|mica|2025-12-29
verificati xand puetti! contactul nu culpeaza la roobot usdura|verificati cand puteti! contactul nu cupleaza la robot sudura|componente_automatizare|Electric|medie|2026-01-26
verificatii zona expedtie, nu vedde stick-ul usb|Verificati zona expeditie, nu vede stick-ul USB|hardware_it|Software|medie|2026-01-04
defectiune magazie piese: vaaloare zero la senzor temperatura.|Defectiune magazie piese: valoare zero la senzor temperatura.|senzori_instrumentatie|Electric|critica|2026-01-13
la liina 2: axul motorului e blocat.|La linia 2: axul motorului e blocat.|blocaj_mecanic|Mecanic|critica|2025-12-30
la magaize piese: s-a oprt curentul la linie.|La magazie piese: s-a oprit curentul la linie.|alimentare_curent|Electric|medie|2026-01-19
bug in soft la salvae znoa presa hidraulica|bug in soft la salvare zona presa hidraulica|bug_aplicatie|Software|medie|2026-01-29
tastatura blocata la zoma ambalare. peticol|tastatura blocata la zona ambalare. PERICOL|hardware_it|Software|critica|2026-01-22
nu wvem retea la hmi la roobt sudura. merge geu|nu avem retea la hmi la robot sudura. merge greu|conectivitate_retea|Software|medie|2026-01-19
verificati zon ambalare, rulment dpart|Verificati zona ambalare, rulment spart|uzura_fizica|Mecanic|medie|2026-02-08
fotocwlula mrudara zona robot kkua|fotocelula murdara zona robot kuka|senzori_instrumentatie|Electric|medie|2026-01-04
cod de eroare 404 la linia 2. veerificare vizuala|cod de eroare 404 la linia 2. verificare vizuala|bug_aplicatie|Software|mica|2025-12-18
ufrtun persiune spart la cuptor tratament. zgomot ciudaat|furtun presiune spart la cuptor tratament. zgomot ciudat|scurgere_lichide|Mecanic|medie|2026-01-22
verifiati linia 2, aplicatia s-a inhis singira|Verificati linia 2, aplicatia s-a inchis singura|bug_aplicatie|Software|medie|2025-12-28
fluctuatii de tensiune la zona expeditei. mentenana preventiva|fluctuatii de tensiune la zona expeditie. mentenanta preventiva|alimentare_curent|Electric|mica|2026-01-23
furfun prrsiune spart zona robot sudjra|furtun presiune spart zona robot sudura|scurgere_lichide|Mecanic|critica|2026-02-08
verifcati linia 2, fotocelula murdara|Verificati linia 2, fotocelula murdara|senzori_instrumentatie|Electric|critica|2025-12-24
scurggere de ulei sub utilaj la press hidraulica. cand se poate|scurgere de ulei sub utilaj la presa hidraulica. cand se poate|scurgere_lichide|Mecanic|mica|2026-01-25
eroare citire debitmetru zon agazie pkese|eroare citire debitmetru zona magazie piese|senzori_instrumentatie|Electric|critica|2026-01-05
ssursa de alimentare arsa ozna cuotor tratamrnt|sursa de alimentare arsa zona cuptor tratament|alimentare_curent|Electric|critica|2026-01-20
defctiune linia 2: ax descentrat.|Defectiune linia 2: ax descentrat.|uzura_fizica|Mecanic|mica|2026-01-01
la cuptor tratament: s-a blocaat brtul robtoic.|La cuptor tratament: s-a blocat bratul robotic.|blocaj_mecanic|Mecanic|critica|2025-12-15
bataie in reductor la llinia 2. mentenanta preventiva|bataie in reductor la linia 2. mentenanta preventiva|uzura_fizica|Mecanic|mica|2026-01-12
motorul declanseaza protectia termica la rboot kukka. urgent|motorul declanseaza protectia termica la robot kuka. URGENT|componente_automatizare|Electric|critica|2026-01-05
valva idraulica blocata zona robot kuks|valva hidraulica blocata zona robot kuka|blocaj_mecanic|Mecanic|critica|2026-02-02
defectiune cutor tratameent: s-a oprit curentul la linie.|Defectiune cuptor tratament: s-a oprit curentul la linie.|alimentare_curent|Electric|critica|2026-01-30
la zona expeditie: valoare zero la senzor temperatura.|La zona expeditie: valoare zero la senzor temperatura.|senzori_instrumentatie|Electric|mica|2025-12-28
defectiund statia vopsjre: se aued urat un omtor.|Defectiune statia vopsire: se aude urat un motor.|uzura_fizica|Mecanic|mica|2026-02-03
verificati zna ambalare, unitaea pc carae|Verificati zona ambalare, unitatea PC caraie|hardware_it|Software|critica|2026-02-07
defectiune linia 1: fotocelula murdaraa.|Defectiune linia 1: fotocelula murdara.|senzori_instrumentatie|Electric|medie|2026-01-16
la zona expeditie: invertoorul e in vaarie.|La zona expeditie: invertorul e in avarie.|componente_automatizare|Electric|mica|2026-01-06
eroare citire deibtmetru zona sstatia vopsire|eroare citire debitmetru zona statia vopsire|senzori_instrumentatie|Electric|medie|2026-01-27
defectiune cnc mazak: inverttorul e in vaarie.|Defectiune cnc mazak: invertorul e in avarie.|componente_automatizare|Electric|mica|2026-01-11
pierre lichid hidrulic ozna magazie piese|pierde lichid hidraulic zona magazie piese|scurgere_lichide|Mecanic|mica|2026-01-31
defetciune robot kuka: senozr proximifate lovit.|Defectiune robot kuka: senzor proximitate lovit.|senzori_instrumentatie|Electric|mica|2025-12-16
axul motorului e blocat zona magazie piese|axul motorului e blocat zona magazie piese|blocaj_mecanic|Mecanic|mica|2026-01-03
verificare vizuaala! transformatoor suprincalzit la zona expeditie|verificare vizuala! transformator supraincalzit la zona expeditie|componente_automatizare|Electric|mica|2026-02-09
zgomot ciudat! dint rupti la roata dintafa la zona expeditie|zgomot ciudat! dinti rupti la roata dintata la zona expeditie|uzura_fizica|Mecanic|medie|2026-02-02
la presa hidraulicca: bqnda transportoare sfiasiata.|La presa hidraulica: banda transportoare sfiasiata.|uzura_fizica|Mecanic|critica|2026-01-12
la cuptor trratament: se ade urt un motor.|La cuptor tratament: se aude urat un motor.|uzura_fizica|Mecanic|mica|2025-12-13
cerificati magazie piese, touchscren decalat|Verificati magazie piese, touchscreen decalat|hardware_it|Software|mica|2025-12-22
veriificati linia 2, ss-a blocatt bratul robottic|Verificati linia 2, s-a blocat bratul robotic|blocaj_mecanic|Mecanic|mica|2026-01-10
fotoocelula murdara la cnc mazak. zgomot ciudat|fotocelula murdara la cnc mazak. zgomot ciudat|senzori_instrumentatie|Electric|medie|2026-01-09
la zona expeditiie: ole blocate la banda.|La zona expeditie: role blocate la banda.|blocaj_mecanic|Mecanic|medie|2026-01-14
defectiune zona expeditie: nu comunicca cu servsrul.|Defectiune zona expeditie: nu comunica cu serverul.|conectivitate_retea|Software|mica|2026-01-22
la camerra compresoare: ipcura apa din racire.|La camera compresoare: picura apa din racire.|scurgere_lichide|Mecanic|medie|2026-01-12
la robot sudura: butonul de start e gri inactiv).|La robot sudura: butonul de start e gri (inactiv).|bug_aplicatie|Software|mica|2026-01-22
bug in oft la salvare zona cuptor trayament|bug in soft la salvare zona cuptor tratament|bug_aplicatie|Software|critica|2026-01-24
iincendiu! eeleu ars in tabolu la zona expeditie|INCENDIU! releu ars in tablou la zona expeditie|componente_automatizare|Electric|critica|2026-01-25
la zona ambalare: pieerde lcihid idraulic.|La zona ambalare: pierde lichid hidraulic.|scurgere_lichide|Mecanic|critica|2025-12-15
s-a oprit curentul la linie la lresa hidrauoica. mentenanta prveentiva|s-a oprit curentul la linie la presa hidraulica. mentenanta preventiva|alimentare_curent|Electric|mica|2026-02-04
verificati roobt kuka, nu merge interentul|Verificati robot kuka, nu merge internetul|conectivitate_retea|Software|critica|2025-12-21
verificati robot kuka, usa de protectie inttepenita|Verificati robot kuka, usa de protectie intepenita|blocaj_mecanic|Mecanic|medie|2025-12-21
variatorul de turatie e rosu la robot kuka. trebuiw verificat|variatorul de turatie e rosu la robot kuka. trebuie verificat|componente_automatizare|Electric|medie|2026-01-22
eroare citire debitmetru la linia 1. ris accidet|eroare citire debitmetru la linia 1. RISC ACCIDENT|senzori_instrumentatie|Electric|critica|2025-12-15
verificati zonna expeditie, bug in soft la savlare|Verificati zona expeditie, bug in soft la salvare|bug_aplicatie|Software|medie|2026-01-26
nu gede stick-ul usb zona cuptor tratament|nu vede stick-ul USB zona cuptor tratament|hardware_it|Software|critica|2026-02-06
defectiune linia 2: nu omunica cu serverul.|Defectiune linia 2: nu comunica cu serverul.|conectivitate_retea|Software|critica|2026-02-08
touchscresn decalat la robot suddura. nu e graba|touchscreen decalat la robot sudura. nu e graba|hardware_it|Software|mica|2026-01-10
bgu in soft la slvare la zona expeditie. mentenanta preventiva|bug in soft la salvare la zona expeditie. mentenanta preventiva|bug_aplicatie|Software|mica|2026-01-18
la cwmera compresoare: nu comunica cu sererul.|La camera compresoare: nu comunica cu serverul.|conectivitate_retea|Software|critica|2026-01-29
mergd geu! adresa ip conflict la linia 2|merge greu! adresa IP conflict la linia 2|conectivitate_retea|Software|medie|2026-01-26
pierde lichid hidraulic la robot sudura. nu e garba|pierde lichid hidraulic la robot sudura. nu e graba|scurgere_lichide|Mecanic|mica|2026-02-03
valoare aero la senzor temperatura zona cnc mazaak|valoare zero la senzor temperatura zona cnc mazak|senzori_instrumentatie|Electric|critica|2026-01-28
trebuis verificat! zgomot de polizre la linia 1|trebuie verificat! zgomot de polizare la linia 1|uzura_fizica|Mecanic|medie|2026-01-05
la magazie pies:e uusa de protectie ibtepenita.|La magazie piese: usa de protectie intepenita.|blocaj_mecanic|Mecanic|critica|2026-01-10
valoare zero la senzor temperatura zona rohot kuka|valoare zero la senzor temperatura zona robot kuka|senzori_instrumentatie|Electric|medie|2025-12-23
la zonaa amblaare: fluctuatii de tensiune.|La zona ambalare: fluctuatii de tensiune.|alimentare_curent|Electric|critica|2026-01-07
defectiune lini 2: senzorul nu citeste nimic.|Defectiune linia 2: senzorul nu citeste nimic.|senzori_instrumentatie|Electric|mica|2026-01-31
defectiune nagazie piese: zgomot de polizare.|Defectiune magazie piese: zgomot de polizare.|uzura_fizica|Mecanic|mica|2026-01-29
mentenanat preventiva! fluctuarii de tennsiune la prewa hidraulica|mentenanta preventiva! fluctuatii de tensiune la presa hidraulica|alimentare_curent|Electric|mica|2026-02-02
touchscreen decalat la linia 1. verificare vizusla|touchscreen decalat la linia 1. verificare vizuala|hardware_it|Software|mica|2026-01-01
verificati robot udura, mouse--ul nu merge|Verificati robot sudura, mouse-ul nu merge|hardware_it|Software|critica|2026-01-09
defectiune linia 1: valoarw zero la enzor temperatura.|Defectiune linia 1: valoare zero la senzor temperatura.|senzori_instrumentatie|Electric|medie|2026-01-10
defectiune ona expeditie: ax descentrat.|Defectiune zona expeditie: ax descentrat.|uzura_fizica|Mecanic|critica|2026-02-08
butonul de sstart e gro (inactiv) zonq robbot suudura|butonul de start e gri (inactiv) zona robot sudura|bug_aplicatie|Software|mica|2026-01-25
nu merge internetul la robbot sudura. zgomot ciudt|nu merge internetul la robot sudura. zgomot ciudat|conectivitate_retea|Software|medie|2026-01-08
termocupla defetca la xamera compresoae. veificati and puteti|termocupla defecta la camera compresoare. verificati cand puteti|senzori_instrumentatie|Electric|medie|2026-02-03
deefectiune cuptor tratament: eroare pe ecran.|Defectiune cuptor tratament: eroare pe ecran.|bug_aplicatie|Software|critica|2025-12-11
verificare vvizuala! senzor proximitate ovit la cuptoor trtament|verificare vizuala! senzor proximitate lovit la cuptor tratament|senzori_instrumentatie|Electric|mica|2026-01-02
encoderul da eroare poziitie zona presa hidrraulica|encoderul da eroare pozitie zona presa hidraulica|senzori_instrumentatie|Electric|mica|2025-12-17
nu e graba! senzor proximitate lovitt la robot sudura|nu e graba! senzor proximitate lovit la robot sudura|senzori_instrumentatie|Electric|mica|2026-02-05
mentenanta preventiva! releu ars in tablou la roobot sudrua|mentenanta preventiva! releu ars in tablou la robot sudura|componente_automatizare|Electric|mica|2026-02-04
veriifcati orbot sduura, fluctuatii de tensiune|Verificati robot sudura, fluctuatii de tensiune|alimentare_curent|Electric|mica|2025-12-18
verificati cuptor tratament,rreleu ars in tablou|Verificati cuptor tratament, releu ars in tablou|componente_automatizare|Electric|medie|2026-01-23
defectiune cnc mazak: rulment sparg.|Defectiune cnc mazak: rulment spart.|uzura_fizica|Mecanic|critica|2026-02-07
verificati cupptor tratamrnt, erroare citire debittmetru|Verificati cuptor tratament, eroare citire debitmetru|senzori_instrumentatie|Electric|medie|2026-01-22
verificati cnc mzaak,contactul nu cupleaza|Verificati cnc mazak, contactul nu cupleaza|componente_automatizare|Electric|mica|2026-01-18
bug in soft la salvare zona linia 2|bug in soft la salvare zona linia 2|bug_aplicatie|Software|mica|2026-01-18
defsctiune camera compresoare: rooe blocate la banad.|Defectiune camera compresoare: role blocate la banda.|blocaj_mecanic|Mecanic|medie|2026-01-21
defecttiune zoan ambalar:e codd de eroare 404.|Defectiune zona ambalare: cod de eroare 404.|bug_aplicatie|Software|medie|2026-01-16
defectiune fnc mazak: angrenaj gripat.|Defectiune cnc mazak: angrenaj gripat.|blocaj_mecanic|Mecanic|mica|2026-02-08
butonul de stat e gri (inactiv) zona robot sudurq|butonul de start e gri (inactiv) zona robot sudura|bug_aplicatie|Software|critica|2025-12-30
la robot kka: umitatea pc caraaie.|La robot kuka: unitatea PC caraie.|hardware_it|Software|medie|2025-12-14
verificzti llinia 1, fransformator suprancalzit|Verificati linia 1, transformator supraincalzit|componente_automatizare|Electric|medie|2026-01-02
la obot muka: lant rupt.|La robot kuka: lant rupt.|uzura_fizica|Mecanic|mica|2026-01-17
defectiune magazie pies: pierdere pachete date.|Defectiune magazie piese: pierdere pachete date.|conectivitate_retea|Software|medie|2026-01-08
nu e graba! variatorul de turatie e rosu la vnc mazak|nu e graba! variatorul de turatie e rosu la cnc mazak|componente_automatizare|Electric|mica|2026-01-03
cand se poat! eroare citier debimtetru la presa hidrauica|cand se poate! eroare citire debitmetru la presa hidraulica|senzori_instrumentatie|Electric|mica|2026-01-01
nu e graba! senzorul nu citteste nimic la linia 2|nu e graba! senzorul nu citeste nimic la linia 2|senzori_instrumentatie|Electric|mica|2026-01-15
la statia vopsire: cablu de rretea scos..|La statia vopsire: cablu de retea scos.|conectivitate_retea|Software|medie|2026-01-06
encoderul da eroaare pozitie la dobot kukka. nu e graba|encoderul da eroare pozitie la robot kuka. nu e graba|senzori_instrumentatie|Electric|mica|2025-12-15
fotocelula murdara la zonz ambalar.e incetineste productia|fotocelula murdara la zona ambalare. incetineste productia|senzori_instrumentatie|Electric|medie|2026-01-18
defectiune caera compresoare: seznor proximitate lovit.|Defectiune camera compresoare: senzor proximitate lovit.|senzori_instrumentatie|Electric|mica|2025-12-30
curea ruta zona robot kuka|curea rupta zona robot kuka|uzura_fizica|Mecanic|medie|2025-12-14
defectiune magazie piese: senzorr pfoximitate lovit.|Defectiune magazie piese: senzor proximitate lovit.|senzori_instrumentatie|Electric|mica|2026-01-11
verificatii statia vospire, blue screen la pirnire|Verificati statia vopsire, blue screen la pornire|bug_aplicatie|Software|critica|2026-01-12
la linia 2: siguranta sarita.|La linia 2: siguranta sarita.|alimentare_curent|Electric|critica|2025-12-26
tastatura blocata zonaa orbot sudura|tastatura blocata zona robot sudura|hardware_it|Software|medie|2026-02-06
angrenaj grippat la liinia 2. zgomot cuidat|angrenaj gripat la linia 2. zgomot ciudat|blocaj_mecanic|Mecanic|medie|2026-01-04
senzorul nu citeste nimic la zona ambalare. verficare vizuala|senzorul nu citeste nimic la zona ambalare. verificare vizuala|senzori_instrumentatie|Electric|mica|2025-12-13
defectune staita vopsire: releu aes in tablouu.|Defectiune statia vopsire: releu ars in tablou.|componente_automatizare|Electric|medie|2026-01-18
s-q blocat bratul robotic la robto kuka. nota informaativa|s-a blocat bratul robotic la robot kuka. nota informativa|blocaj_mecanic|Mecanic|mica|2025-12-19
ecran hegru complet zoan cuptor tratameht|ecran negru complet zona cuptor tratament|hardware_it|Software|critica|2026-01-05
ecran negru complet la linia 2. zgomot ciudat|ecran negru complet la linia 2. zgomot ciudat|hardware_it|Software|medie|2025-12-30
defecriune statia vopsire: termocupla defecta.|Defectiune statia vopsire: termocupla defecta.|senzori_instrumentatie|Electric|critica|2025-12-31
incetineste productis! axul moorului e blocat la magzaie peise|incetineste productia! axul motorului e blocat la magazie piese|blocaj_mecanic|Mecanic|medie|2026-01-15
pierdere pachet date la presa hidraulica. nu e grabz|pierdere pachete date la presa hidraulica. nu e graba|conectivitate_retea|Software|mica|2025-12-28
verificati stattia vopsrie,releu ars in tabblou|Verificati statia vopsire, releu ars in tablou|componente_automatizare|Electric|medie|2025-12-30
defectiune magazie pese: scurgere de ulei sbu utulaj.|Defectiune magazie piese: scurgere de ulei sub utilaj.|scurgere_lichide|Mecanic|medie|2025-12-19
zgoomot ciudat! butonul de start e gri (inactiv) la robot kuka|zgomot ciudat! butonul de start e gri (inactiv) la robot kuka|bug_aplicatie|Software|medie|2025-12-26
motorul declanseaza protectia termica la roboot kuka. verrificare vizuaoa|motorul declanseaza protectia termica la robot kuka. verificare vizuala|componente_automatizare|Electric|mica|2026-01-02
not inofrmativa! encoderul da eroare pozitie la linia 1|nota informativa! encoderul da eroare pozitie la linia 1|senzori_instrumentatie|Electric|mica|2025-12-19
nu e graba! vavla hidraulica blocata la magazie piese|nu e graba! valva hidraulica blocata la magazie piese|blocaj_mecanic|Mecanic|mica|2025-12-17
verfiicati roboot suduura, fluctuatii de tensiune|Verificati robot sudura, fluctuatii de tensiune|alimentare_curent|Electric|medie|2026-01-25
defectiine robot kuka: termocupla defecta.|Defectiune robot kuka: termocupla defecta.|senzori_instrumentatie|Electric|medie|2025-12-25
verificati sona expeditje, pistonul nu mai revnie|Verificati zona expeditie, pistonul nu mai revine|blocaj_mecanic|Mecanic|critica|2025-12-29
derectiune robot kua: nu avem retea la hmi.|Defectiune robot kuka: nu avem retea la hmi.|conectivitate_retea|Software|medie|2025-12-24
incetinestte prdouctia! tastatura blocata la cmera compreaoare|incetineste productia! tastatura blocata la camera compresoare|hardware_it|Software|medie|2025-12-19
mouse-ul nu merge zona rrobot sudura|mouse-ul nu merge zona robot sudura|hardware_it|Software|medie|2025-12-29
adresa ip conflict la roboot kuka. verificard vizuala|adresa IP conflict la robot kuka. verificare vizuala|conectivitate_retea|Software|mica|2026-01-10
touchscreen-lu nu raspundde la atingere la zona amgalare. incetineste productia|touchscreen-ul nu raspunde la atingere la zona ambalare. incetineste productia|hardware_it|Software|medie|2026-01-16
la linia 1: s-a blocta bratul robotic.|La linia 1: s-a blocat bratul robotic.|blocaj_mecanic|Mecanic|medie|2025-12-22
nu se aprinde becul de control zona magazie piese|nu se aprinde becul de control zona magazie piese|alimentare_curent|Electric|mica|2025-12-30
defectiyne zona expeditie: pistonul nu mai revine.|Defectiune zona expeditie: pistonul nu mai revine.|blocaj_mecanic|Mecanic|critica|2026-02-06
la presa hidraulica: ax descentrat.|La presa hidraulica: ax descentrat.|uzura_fizica|Mecanic|critica|2025-12-12
defectiune maagazie piese:: variatorul de turatie e rosu.|Defectiune magazie piese: variatorul de turatie e rosu.|componente_automatizare|Electric|critica|2025-12-14
se aude urat un mtor la cuptor tratament. trebuke verificat|se aude urat un motor la cuptor tratament. trebuie verificat|uzura_fizica|Mecanic|medie|2026-01-11
verificati maggazie piese, eroare citire debtmetru|Verificati magazie piese, eroare citire debitmetru|senzori_instrumentatie|Electric|mica|2025-12-28
defectiune presa hidraulica: mouse-ul nu merge.|Defectiune presa hidraulica: mouse-ul nu merge.|hardware_it|Software|mica|2025-12-13
se aude uratt un mmotor la zona expeitie. onta informativa|se aude urat un motor la zona expeditie. nota informativa|uzura_fizica|Mecanic|mica|2025-12-16
verificati duptor tratament, cablu de retea scos|Verificati cuptor tratament, cablu de retea scos|conectivitate_retea|Software|mica|2025-12-29
la staia vopsirre: vsaelina curge din laagar.|La statia vopsire: vaselina curge din lagar.|scurgere_lichide|Mecanic|mica|2025-12-21
nota informativa! nu avem tenisune la panou la robbot kika|nota informativa! nu avem tensiune la panou la robot kuka|alimentare_curent|Electric|mica|2026-02-06
la caera compresoare: eroare vitire debitmetru.|La camera compresoare: eroare citire debitmetru.|senzori_instrumentatie|Electric|mica|2026-01-01
acnd se poat! scurtcircuit cu flama la statia vopsire|cand se poate! scurtcircuit cu flama la statia vopsire|alimentare_curent|Electric|mica|2026-01-20
defectiune cutpor tratament: contactul nu cupldaza.|Defectiune cuptor tratament: contactul nu cupleaza.|componente_automatizare|Electric|critica|2026-01-30
piedere pchete date la linia 1. incendiu|pierdere pachete date la linia 1. INCENDIU|conectivitate_retea|Software|critica|2026-01-11
mentenanta prevenntiva! aplicatia s-a inchis singura la robot kkuka|mentenanta preventiva! aplicatia s-a inchis singura la robot kuka|bug_aplicatie|Software|mica|2026-01-15
verificai cnc mazak,nu avem retae la hmi|Verificati cnc mazak, nu avem retea la hmi|conectivitate_retea|Software|medie|2026-01-16
trebuie verificat! touchscreen decalat la presa hidraulica|trebuie verificat! touchscreen decalat la presa hidraulica|hardware_it|Software|medie|2025-12-14
la cnc mazak: furtun presiune spart.|La cnc mazak: furtun presiune spart.|scurgere_lichide|Mecanic|critica|2025-12-19
unitatea pc caraei la zon expeditie. ntoa informativa|unitatea PC caraie la zona expeditie. nota informativa|hardware_it|Software|mica|2025-12-27
fottocelula murdara zkna magzie piee|fotocelula murdara zona magazie piese|senzori_instrumentatie|Electric|mica|2026-02-03
senzor proximitate ovit la lini 2. zgomot ciudat|senzor proximitate lovit la linia 2. zgomot ciudat|senzori_instrumentatie|Electric|medie|2025-12-26
mouse-ul nu merge la vuptor tratament.. opriti tot|mouse-ul nu merge la cuptor tratament. OPRITI TOT|hardware_it|Software|critica|2025-12-31
la linia 2: fluctuatii de tensiune.|La linia 2: fluctuatii de tensiune.|alimentare_curent|Electric|mica|2025-12-18
aplicatia s-a incchis singura la linia 1. cand se pote|aplicatia s-a inchis singura la linia 1. cand se poate|bug_aplicatie|Software|mica|2026-01-19
angrenaj gripat zona staita vopsire|angrenaj gripat zona statia vopsire|blocaj_mecanic|Mecanic|critica|2025-12-31
mouse-ul nu meerge zona cnc mazak|mouse-ul nu merge zona cnc mazak|hardware_it|Software|critica|2025-12-31
verificati cand puteti! vug in eoft la salvare la magzie poese|verificati cand puteti! bug in soft la salvare la magazie piese|bug_aplicatie|Software|medie|2025-12-24
risc accident! aplicatai s-a inchis singgura la zona ambalrae|RISC ACCIDENT! aplicatia s-a inchis singura la zona ambalare|bug_aplicatie|Software|critica|2026-01-29
frutun presiiune spatt la linia 1. risc accident|furtun presiune spart la linia 1. RISC ACCIDENT|scurgere_lichide|Mecanic|critica|2025-12-19
defectiune robot sudur: encoderul da eroare pozittie.|Defectiune robot sudura: encoderul da eroare pozitie.|senzori_instrumentatie|Electric|medie|2026-01-21
pig timeout zoona linia 2|ping timeout zona linia 2|conectivitate_retea|Software|critica|2026-01-05
verificati cuptor tratament, senzorul nu citestw nimic|Verificati cuptor tratament, senzorul nu citeste nimic|senzori_instrumentatie|Electric|medie|2025-12-12
la roboot kuka: lant rup.|La robot kuka: lant rupt.|uzura_fizica|Mecanic|critica|2025-12-28
role blocate la banda ozna zona ambalare|role blocate la banda zona zona ambalare|blocaj_mecanic|Mecanic|mica|2025-12-12
verificati zona expeditke, ecrann nnegru complet|Verificati zona expeditie, ecran negru complet|hardware_it|Software|critica|2026-01-23
oata made de lei pe jos zonaa robot kuka|pata mare de ulei pe jos zona robot kuka|scurgere_lichide|Mecanic|mica|2026-01-08
verificati zonaa expeditie,butonull de sstart e gri (inactiv)|Verificati zona expeditie, butonul de start e gri (inactiv)|bug_aplicatie|Software|mica|2026-02-05
defecctiune zoan expeditie: cabllu de ertea scos.|Defectiune zona expeditie: cablu de retea scos.|conectivitate_retea|Software|medie|2026-02-04
la presa hidraulia: variatoruul de turatei e rosu.|La presa hidraulica: variatorul de turatie e rosu.|componente_automatizare|Electric|critica|2026-01-19
ffum! picura apa din racire la lunia 2|FUM! picura apa din racire la linia 2|scurgere_lichide|Mecanic|critica|2025-12-22
angrwnaj gripa zona linia 2|angrenaj gripat zona linia 2|blocaj_mecanic|Mecanic|medie|2026-01-19
verificati cand pputeti! pata maer de ulei pe jos la cnc mszak|verificati cand puteti! pata mare de ulei pe jos la cnc mazak|scurgere_lichide|Mecanic|medie|2025-12-16
la cnc mazk: contactul nu cupleaza.|La cnc mazak: contactul nu cupleaza.|componente_automatizare|Electric|medie|2025-12-17
verificaati liinia 1, contactul nu cupleaza|Verificati linia 1, contactul nu cupleaza|componente_automatizare|Electric|mica|2025-12-12
defecttiune cultor tratament: nu avem tdnsiune la panou.|Defectiune cuptor tratament: nu avem tensiune la panou.|alimentare_curent|Electric|mica|2026-02-02
la cuptor rtatament: touchcreen-ul nu raspunde la taingere.|La cuptor tratament: touchscreen-ul nu raspunde la atingere.|hardware_it|Software|critica|2026-01-18
cod de sroare 404 la zona ambalare. pericol|cod de eroare 404 la zona ambalare. PERICOL|bug_aplicatie|Software|critica|2026-01-08
verificati cand puteti! picura apa dinn racire la camera compreoare|verificati cand puteti! picura apa din racire la camera compresoare|scurgere_lichide|Mecanic|medie|2026-01-19
aplicaita s-a inchis singura la linia 1. mentenanta preventiva|aplicatia s-a inchis singura la linia 1. mentenanta preventiva|bug_aplicatie|Software|mica|2025-12-13
